time,flight_id,event,gate,wait_time,task,duration
899.0,FL041,gate_start,c3,0.0,,
901.3,FL040,task_completed,,,BAGGAGE_OUT,
902.4,FL039,task_completed,,,CLEAN,
902.4,FL039,task_completed,,,CATERING,
906.3,FL040,task_completed,,,CLEAN,
906.3,FL040,task_completed,,,CATERING,
909.5,FL041,task_completed,,,WATER,
914.5,FL041,task_completed,,,FUEL,
915.0,FL042,gate_queued,c11,,,
915.0,FL042,gate_start,c11,0.0,,
917.4,FL039,task_completed,,,BAGGAGE_IN,
917.4,FL039,task_completed,,,GPU,
917.4,FL039,gate_end,c8,,,40.39999999999998
919.5,FL041,task_completed,,,BAGGAGE_OUT,
921.3,FL040,task_completed,,,BAGGAGE_IN,
921.3,FL040,task_completed,,,GPU,
921.3,FL040,gate_end,c5,,,40.299999999999955
924.5,FL041,task_completed,,,CLEAN,
924.5,FL041,task_completed,,,CATERING,
925.7,FL042,task_completed,,,WATER,
929.0,FL043,gate_queued,c8,,,
929.0,FL043,gate_start,c8,0.0,,
930.7,FL042,task_completed,,,FUEL,
935.0,FL044,gate_queued,c4,,,
935.0,FL044,gate_start,c4,0.0,,
935.7,FL042,task_completed,,,BAGGAGE_OUT,
939.4,FL043,task_completed,,,WATER,
939.5,FL041,task_completed,,,BAGGAGE_IN,
939.5,FL041,task_completed,,,GPU,
939.5,FL041,gate_end,c3,,,40.5
940.7,FL042,task_completed,,,CLEAN,
940.7,FL042,task_completed,,,CATERING,
943.0,FL045,gate_queued,c9,,,
943.0,FL045,gate_start,c9,0.0,,
944.4,FL043,task_completed,,,FUEL,
945.5,FL044,task_completed,,,WATER,
949.4,FL043,task_completed,,,BAGGAGE_OUT,
950.5,FL044,task_completed,,,FUEL,
953.5,FL045,task_completed,,,WATER,
954.4,FL043,task_completed,,,CLEAN,
954.4,FL043,task_completed,,,CATERING,
955.5,FL044,task_completed,,,BAGGAGE_OUT,
955.7,FL042,task_completed,,,BAGGAGE_IN,
955.7,FL042,task_completed,,,GPU,
955.7,FL042,gate_end,c11,,,40.700000000000045
958.5,FL045,task_completed,,,FUEL,
960.5,FL044,task_completed,,,CLEAN,
960.5,FL044,task_completed,,,CATERING,
963.5,FL045,task_completed,,,BAGGAGE_OUT,
968.5,FL045,task_completed,,,CLEAN,
968.5,FL045,task_completed,,,CATERING,
969.4,FL043,task_completed,,,BAGGAGE_IN,
969.4,FL043,task_completed,,,GPU,
969.4,FL043,gate_end,c8,,,40.39999999999998
972.0,FL046,gate_queued,c11,,,
972.0,FL046,gate_start,c11,0.0,,
975.5,FL044,task_completed,,,BAGGAGE_IN,
975.5,FL044,task_completed,,,GPU,
975.5,FL044,gate_end,c4,,,40.5
979.0,FL047,gate_queued,c8,,,
979.0,FL047,gate_start,c8,0.0,,
982.7,FL046,task_completed,,,WATER,
983.5,FL045,task_completed,,,BAGGAGE_IN,
983.5,FL045,task_completed,,,GPU,
983.5,FL045,gate_end,c9,,,40.5
985.0,FL048,gate_queued,c9,,,
985.0,FL048,gate_start,c9,0.0,,
987.7,FL046,task_completed,,,FUEL,
989.4,FL047,task_completed,,,WATER,
992.7,FL046,task_completed,,,BAGGAGE_OUT,
994.4,FL047,task_completed,,,FUEL,
995.5,FL048,task_completed,,,WATER,
997.0,FL049,gate_queued,c4,,,
997.0,FL049,gate_start,c4,0.0,,
997.7,FL046,task_completed,,,CLEAN,
997.7,FL046,task_completed,,,CATERING,
999.4,FL047,task_completed,,,BAGGAGE_OUT,
1000.5,FL048,task_completed,,,FUEL,
1004.4,FL047,task_completed,,,CLEAN,
1004.4,FL047,task_completed,,,CATERING,
1005.5,FL048,task_completed,,,BAGGAGE_OUT,
1007.0,FL050,gate_queued,c3,,,
1007.0,FL050,gate_start,c3,0.0,,
1007.5,FL049,task_completed,,,WATER,
1010.5,FL048,task_completed,,,CLEAN,
1010.5,FL048,task_completed,,,CATERING,
1012.5,FL049,task_completed,,,FUEL,
1012.7,FL046,task_completed,,,BAGGAGE_IN,
1012.7,FL046,task_completed,,,GPU,
1012.7,FL046,gate_end,c11,,,40.700000000000045
1017.5,FL049,task_completed,,,BAGGAGE_OUT,
1019.4,FL047,task_completed,,,BAGGAGE_IN,
1019.4,FL047,task_completed,,,GPU,
1019.4,FL047,gate_end,c8,,,40.39999999999998
1022.5,FL049,task_completed,,,CLEAN,
1022.5,FL049,task_completed,,,CATERING,
1023.9000000000015,FL050,task_completed,,,WATER,
1024.0,FL051,gate_queued,c11,,,
1024.0,FL051,gate_start,c11,0.0,,
1025.5,FL048,task_completed,,,BAGGAGE_IN,
1025.5,FL048,task_completed,,,GPU,
1025.5,FL048,gate_end,c9,,,40.5
1028.9000000000015,FL050,task_completed,,,FUEL,
1033.9000000000015,FL050,task_completed,,,BAGGAGE_OUT,
1034.7,FL051,task_completed,,,WATER,
1037.5,FL049,task_completed,,,BAGGAGE_IN,
1037.5,FL049,task_completed,,,GPU,
1037.5,FL049,gate_end,c4,,,40.5
1038.9000000000015,FL050,task_completed,,,CLEAN,
1038.9000000000015,FL050,task_completed,,,CATERING,
1039.0,FL052,gate_queued,c9,,,
1039.0,FL052,gate_start,c9,0.0,,
1039.7,FL051,task_completed,,,FUEL,
1044.7,FL051,task_completed,,,BAGGAGE_OUT,
1049.5,FL052,task_completed,,,WATER,
1049.7,FL051,task_completed,,,CLEAN,
1049.7,FL051,task_completed,,,CATERING,
1053.9000000000015,FL050,task_completed,,,BAGGAGE_IN,
1053.9000000000015,FL050,task_completed,,,GPU,
1053.9000000000015,FL050,gate_end,c3,,,46.900000000001455
1054.5,FL052,task_completed,,,FUEL,
1059.5,FL052,task_completed,,,BAGGAGE_OUT,
1064.5,FL052,task_completed,,,CLEAN,
1064.5,FL052,task_completed,,,CATERING,
1064.7,FL051,task_completed,,,BAGGAGE_IN,
1064.7,FL051,task_completed,,,GPU,
1064.7,FL051,gate_end,c11,,,40.700000000000045
1079.5,FL052,task_completed,,,BAGGAGE_IN,
1079.5,FL052,task_completed,,,GPU,
1079.5,FL052,gate_end,c9,,,40.5
1095.0,FL053,gate_queued,c8,,,
1095.0,FL053,gate_start,c8,0.0,,
1100.0,FL054,gate_queued,c6,,,
1100.0,FL054,gate_start,c6,0.0,,
1105.4,FL053,task_completed,,,WATER,
1106.0,FL055,gate_queued,c3,,,
1106.0,FL055,gate_start,c3,0.0,,
1110.3,FL054,task_completed,,,WATER,
1110.4,FL053,task_completed,,,FUEL,
1115.3,FL054,task_completed,,,FUEL,
1115.4,FL053,task_completed,,,BAGGAGE_OUT,
1116.5,FL055,task_completed,,,WATER,
1120.3,FL054,task_completed,,,BAGGAGE_OUT,
1120.4,FL053,task_completed,,,CLEAN,
1120.4,FL053,task_completed,,,CATERING,
1121.5,FL055,task_completed,,,FUEL,
1125.3,FL054,task_completed,,,CLEAN,
1125.3,FL054,task_completed,,,CATERING,
1126.0,FL056,gate_queued,c9,,,
1126.0,FL056,gate_start,c9,0.0,,
1126.5,FL055,task_completed,,,BAGGAGE_OUT,
1127.0,FL057,gate_queued,c4,,,
1127.0,FL057,gate_start,c4,0.0,,
1131.5,FL055,task_completed,,,CLEAN,
1131.5,FL055,task_completed,,,CATERING,
1135.4,FL053,task_completed,,,BAGGAGE_IN,
1135.4,FL053,task_completed,,,GPU,
1135.4,FL053,gate_end,c8,,,40.40000000000009
1140.3,FL054,task_completed,,,BAGGAGE_IN,
1140.3,FL054,task_completed,,,GPU,
1140.3,FL054,gate_end,c6,,,40.299999999999955
1146.399999999991,FL056,task_completed,,,WATER,
1146.5,FL055,task_completed,,,BAGGAGE_IN,
1146.5,FL055,task_completed,,,GPU,
1146.5,FL055,gate_end,c3,,,40.5
1151.0,FL058,gate_queued,c8,,,
1151.0,FL058,gate_start,c8,0.0,,
1151.399999999991,FL056,task_completed,,,FUEL,
1156.399999999991,FL056,task_completed,,,BAGGAGE_OUT,
1157.5999999999817,FL057,task_completed,,,WATER,
1161.399999999991,FL056,task_completed,,,CLEAN,
1161.399999999991,FL056,task_completed,,,CATERING,
1162.5999999999817,FL057,task_completed,,,FUEL,
1167.5999999999817,FL057,task_completed,,,BAGGAGE_OUT,
1172.5999999999817,FL057,task_completed,,,CLEAN,
1172.5999999999817,FL057,task_completed,,,CATERING,
1176.399999999991,FL056,task_completed,,,BAGGAGE_IN,
1176.399999999991,FL056,task_completed,,,GPU,
1176.399999999991,FL056,gate_end,c9,,,50.399999999990996
1187.0,FL059,gate_queued,c9,,,
1187.0,FL059,gate_start,c9,0.0,,
1187.3999999999764,FL058,task_completed,,,WATER,
1187.5999999999817,FL057,task_completed,,,BAGGAGE_IN,
1187.5999999999817,FL057,task_completed,,,GPU,
1187.5999999999817,FL057,gate_end,c4,,,60.59999999998172
1192.3999999999764,FL058,task_completed,,,FUEL,
1196.0,FL060,gate_queued,c11,,,
1196.0,FL060,gate_start,c11,0.0,,
1197.3999999999764,FL058,task_completed,,,BAGGAGE_OUT,
1200.699999999997,FL059,task_completed,,,WATER,
1201.0,FL061,gate_queued,c8,,,
1202.3999999999764,FL058,task_completed,,,CLEAN,
1202.3999999999764,FL058,task_completed,,,CATERING,
1205.699999999997,FL059,task_completed,,,FUEL,
1210.699999999997,FL059,task_completed,,,BAGGAGE_OUT,
1212.0,FL062,gate_queued,c4,,,
1212.0,FL062,gate_start,c4,0.0,,
1215.699999999997,FL059,task_completed,,,CLEAN,
1215.699999999997,FL059,task_completed,,,CATERING,
1217.3999999999764,FL058,task_completed,,,BAGGAGE_IN,
1217.3999999999764,FL058,task_completed,,,GPU,
1217.3999999999764,FL058,gate_end,c8,,,66.39999999997644
1217.3999999999764,FL061,gate_start,c8,16.399999999976444,,
1230.699999999997,FL059,task_completed,,,BAGGAGE_IN,
1230.699999999997,FL059,task_completed,,,GPU,
1230.699999999997,FL059,gate_end,c9,,,43.69999999999709
1251.699999999964,FL061,task_completed,,,BAGGAGE_OUT,
1254.0,FL063,gate_queued,c8,,,
1256.699999999964,FL061,task_completed,,,CLEAN,
1256.699999999964,FL061,task_completed,,,CATERING,
1270.0,FL064,gate_queued,c9,,,
1270.0,FL064,gate_start,c9,0.0,,
1272.5999999999449,FL061,task_completed,,,BAGGAGE_IN,
1273.0,FL065,gate_queued,c7,,,
1273.0,FL065,gate_start,c7,0.0,,
1287.0,FL066,gate_queued,c10,,,
1287.0,FL066,gate_start,c10,0.0,,
1299.0,FL067,gate_queued,c11,,,
1321.0,FL068,gate_queued,c9,,,
1331.4999999998865,FL060,task_completed,,,WATER,
1336.4999999998865,FL060,task_completed,,,FUEL,
1341.4999999998865,FL060,task_completed,,,BAGGAGE_OUT,
1343.0,FL069,gate_queued,c10,,,
1346.4999999998865,FL060,task_completed,,,CLEAN,
1346.4999999998865,FL060,task_completed,,,CATERING,
1361.4999999998865,FL060,task_completed,,,BAGGAGE_IN,
1361.4999999998865,FL060,task_completed,,,GPU,
1361.4999999998865,FL060,gate_end,c11,,,165.49999999988654
1361.4999999998865,FL067,gate_start,c11,62.49999999988654,,
1366.0,FL070,gate_queued,c6,,,
1366.0,FL070,gate_start,c6,0.0,,
1369.0,FL071,gate_queued,c7,,,
1372.6999999999161,FL064,task_completed,,,WATER,
1377.6999999999161,FL064,task_completed,,,FUEL,
1379.0,FL072,gate_queued,c11,,,
1382.6999999999161,FL064,task_completed,,,BAGGAGE_OUT,
1387.6999999999161,FL064,task_completed,,,CLEAN,
1387.6999999999161,FL064,task_completed,,,CATERING,
1402.6999999999161,FL064,task_completed,,,BAGGAGE_IN,
1402.6999999999161,FL064,task_completed,,,GPU,
1402.6999999999161,FL064,gate_end,c9,,,132.69999999991614
1402.6999999999161,FL068,gate_start,c9,81.69999999991614,,
1404.0,FL073,gate_queued,c9,,,
1423.4999999999661,FL070,task_completed,,,BAGGAGE_OUT,
1428.4999999999661,FL070,task_completed,,,CATERING,
1521.599999999728,FL062,task_completed,,,WATER,
1526.599999999728,FL062,task_completed,,,FUEL,
1531.599999999728,FL062,task_completed,,,BAGGAGE_OUT,
1536.599999999728,FL062,task_completed,,,CLEAN,
1536.599999999728,FL062,task_completed,,,CATERING,
1551.599999999728,FL062,task_completed,,,BAGGAGE_IN,
1551.599999999728,FL062,task_completed,,,GPU,
1551.599999999728,FL062,gate_end,c4,,,339.59999999972797
1572.3999999997461,FL065,task_completed,,,BAGGAGE_OUT,
1577.3999999997461,FL065,task_completed,,,CLEAN,
1577.3999999997461,FL065,task_completed,,,CATERING,
1592.3999999997461,FL065,task_completed,,,BAGGAGE_IN,
1602.9999999998074,FL070,task_completed,,,CLEAN,
1638.5999999996075,FL061,task_completed,,,FUEL,
1654.299999999667,FL065,task_completed,,,FUEL,
1661.599999999582,FL061,task_completed,,,WATER,
1661.599999999582,FL061,task_completed,,,GPU,
1661.599999999582,FL061,gate_end,c8,,,444.19999999960555
1661.599999999582,FL063,gate_start,c8,407.599999999582,,
1672.2999999996462,FL065,task_completed,,,WATER,
1672.2999999996462,FL065,task_completed,,,GPU,
1672.2999999996462,FL065,gate_end,c7,,,399.29999999964616
1672.2999999996462,FL071,gate_start,c7,303.29999999964616,,
1683.1999999996492,FL066,task_completed,,,WATER,
1688.1999999996492,FL066,task_completed,,,FUEL,
1693.1999999996492,FL066,task_completed,,,BAGGAGE_OUT,
1693.699999999576,FL063,task_completed,,,CLEAN,
1693.699999999576,FL063,task_completed,,,CATERING,
1698.1999999996492,FL066,task_completed,,,CLEAN,
1698.1999999996492,FL066,task_completed,,,CATERING,
1704.0999999997064,FL070,task_completed,,,FUEL,
1719.899999999543,FL063,task_completed,,,FUEL,
1778.2999999994945,FL063,task_completed,,,BAGGAGE_OUT,
1804.4999999994934,FL067,task_completed,,,WATER,
1809.4999999994934,FL067,task_completed,,,FUEL,
1814.4999999994934,FL067,task_completed,,,BAGGAGE_OUT,
1819.4999999994934,FL067,task_completed,,,CLEAN,
1819.4999999994934,FL067,task_completed,,,CATERING,
1834.4999999994934,FL067,task_completed,,,BAGGAGE_IN,
1834.4999999994934,FL067,task_completed,,,GPU,
1834.4999999994934,FL067,gate_end,c11,,,472.99999999960687
1834.4999999994934,FL072,gate_start,c11,455.4999999994934,,
1845.499999999498,FL071,task_completed,,,WATER,
1850.499999999498,FL071,task_completed,,,FUEL,
1855.499999999498,FL071,task_completed,,,BAGGAGE_OUT,
1856.0999999995636,FL070,task_completed,,,WATER,
1860.499999999498,FL071,task_completed,,,CATERING,
1860.499999999498,FL071,task_completed,,,CLEAN,
1866.8999999994048,FL063,task_completed,,,WATER,
1875.499999999498,FL071,task_completed,,,BAGGAGE_IN,
1875.499999999498,FL071,task_completed,,,GPU,
1875.499999999498,FL071,gate_end,c7,,,203.1999999998518
1876.0999999995545,FL070,task_completed,,,BAGGAGE_IN,
1876.0999999995545,FL070,task_completed,,,GPU,
1876.0999999995545,FL070,gate_end,c6,,,510.0999999995545
1877.2999999994688,FL072,task_completed,,,FUEL,
1877.9999999994636,FL072,task_completed,,,WATER,
1886.3999999994858,FL068,task_completed,,,WATER,
1887.2999999994688,FL072,task_completed,,,CLEAN,
1887.2999999994688,FL072,task_completed,,,CATERING,
1891.3999999994858,FL068,task_completed,,,FUEL,
1896.2999999993872,FL063,task_completed,,,BAGGAGE_IN,
1896.2999999993872,FL063,task_completed,,,GPU,
1896.2999999993872,FL063,gate_end,c8,,,234.6999999998052
1896.3999999994858,FL068,task_completed,,,BAGGAGE_OUT,
1897.1999999994553,FL072,task_completed,,,BAGGAGE_OUT,
1901.3999999994858,FL068,task_completed,,,CATERING,
1901.3999999994858,FL068,task_completed,,,CLEAN,
1916.3999999994858,FL068,task_completed,,,BAGGAGE_IN,
1916.3999999994858,FL068,task_completed,,,GPU,
1916.3999999994858,FL068,gate_end,c9,,,513.6999999995696
1916.3999999994858,FL073,gate_start,c9,512.3999999994858,,
1917.399999999437,FL072,task_completed,,,BAGGAGE_IN,
1917.399999999437,FL072,task_completed,,,GPU,
1917.399999999437,FL072,gate_end,c11,,,82.89999999994347
1917.5999999994451,FL066,task_completed,,,BAGGAGE_IN,
1917.5999999994451,FL066,task_completed,,,GPU,
1917.5999999994451,FL066,gate_end,c10,,,630.5999999994451
1917.5999999994451,FL069,gate_start,c10,574.5999999994451,,
1927.4999999994852,FL073,task_completed,,,WATER,
1928.6999999994446,FL069,task_completed,,,WATER,
1932.4999999994852,FL073,task_completed,,,FUEL,
1933.6999999994446,FL069,task_completed,,,FUEL,
1937.4999999994852,FL073,task_completed,,,BAGGAGE_OUT,
1938.6999999994446,FL069,task_completed,,,BAGGAGE_OUT,
1942.4999999994852,FL073,task_completed,,,CLEAN,
1942.4999999994852,FL073,task_completed,,,CATERING,
1943.6999999994446,FL069,task_completed,,,CLEAN,
1943.6999999994446,FL069,task_completed,,,CATERING,
1957.4999999994852,FL073,task_completed,,,BAGGAGE_IN,
1957.4999999994852,FL073,task_completed,,,GPU,
1957.4999999994852,FL073,gate_end,c9,,,41.099999999999454
1958.6999999994446,FL069,task_completed,,,BAGGAGE_IN,
1958.6999999994446,FL069,task_completed,,,GPU,
1958.6999999994446,FL069,gate_end,c10,,,41.099999999999454
